cell_id,ch1,ch1+ch2,ch2
309,0.0,2.0,0.0
312,0.0,2.0,0.0
314,2.0,0.0,2.0
317,1.0,2.0,1.0
318,2.0,1.0,2.0
319,2.0,2.0,0.0
320,0.0,2.0,0.0
322,0.0,1.0,1.0
323,2.0,0.0,1.0
325,1.0,2.0,0.0
326,3.0,0.0,1.0
327,1.0,0.0,2.0
328,1.0,2.0,1.0
329,1.0,1.0,1.0
330,0.0,3.0,0.0
331,0.0,2.0,1.0
332,0.0,2.0,1.0
334,1.0,2.0,1.0
335,0.0,2.0,1.0
337,1.0,0.0,1.0
338,2.0,1.0,1.0
339,2.0,1.0,2.0
341,1.0,2.0,2.0
342,1.0,2.0,1.0
345,1.0,0.0,3.0
346,1.0,2.0,0.0
347,1.0,3.0,1.0
348,1.0,2.0,1.0
349,0.0,2.0,0.0
351,0.0,2.0,0.0
352,2.0,0.0,0.0
353,1.0,0.0,1.0
354,0.0,2.0,0.0
355,1.0,0.0,3.0
356,0.0,2.0,0.0
358,1.0,2.0,1.0
359,1.0,2.0,1.0
361,1.0,2.0,1.0
363,0.0,3.0,0.0
364,1.0,2.0,0.0
366,2.0,1.0,2.0
367,0.0,2.0,0.0
368,0.0,3.0,0.0
369,1.0,1.0,1.0
371,1.0,2.0,0.0
372,2.0,1.0,2.0
373,2.0,0.0,2.0
375,0.0,3.0,0.0
377,1.0,2.0,1.0
378,0.0,1.0,2.0
379,0.0,2.0,0.0
380,1.0,2.0,0.0
381,2.0,2.0,0.0
382,0.0,3.0,0.0
383,2.0,1.0,2.0
384,1.0,2.0,1.0
385,1.0,2.0,0.0
386,1.0,2.0,1.0
388,2.0,2.0,1.0
390,3.0,0.0,2.0
391,0.0,2.0,0.0
393,1.0,1.0,1.0
394,1.0,1.0,1.0
396,2.0,0.0,2.0
397,1.0,1.0,1.0
398,0.0,3.0,1.0
399,3.0,0.0,2.0
401,1.0,0.0,1.0
402,1.0,1.0,1.0
403,1.0,2.0,1.0
404,1.0,1.0,1.0
405,0.0,2.0,0.0
406,1.0,1.0,2.0
409,0.0,3.0,0.0
410,1.0,1.0,1.0
411,2.0,0.0,3.0
413,0.0,2.0,0.0
414,1.0,2.0,0.0
416,1.0,1.0,1.0
417,1.0,2.0,1.0
418,2.0,1.0,1.0
419,1.0,2.0,1.0
420,1.0,1.0,2.0
421,0.0,2.0,1.0
423,0.0,3.0,0.0
426,2.0,1.0,2.0
427,1.0,1.0,2.0
428,0.0,2.0,0.0
431,2.0,0.0,2.0
432,1.0,1.0,1.0
433,1.0,2.0,1.0
436,1.0,2.0,1.0
437,2.0,1.0,2.0
438,1.0,2.0,1.0
440,2.0,2.0,0.0
442,1.0,2.0,1.0
444,2.0,0.0,0.0
446,1.0,2.0,1.0
447,0.0,3.0,0.0
448,1.0,1.0,0.0
449,2.0,1.0,2.0
452,1.0,1.0,1.0
453,2.0,1.0,2.0
454,2.0,1.0,1.0
455,1.0,0.0,2.0
456,2.0,2.0,1.0
457,1.0,1.0,1.0
459,2.0,0.0,3.0
460,1.0,2.0,1.0
461,0.0,3.0,1.0
462,0.0,2.0,1.0
463,1.0,2.0,1.0
464,1.0,2.0,1.0
465,2.0,3.0,0.0
466,1.0,2.0,1.0
467,2.0,0.0,3.0
468,1.0,2.0,1.0
469,1.0,2.0,0.0
470,2.0,1.0,2.0
471,0.0,3.0,0.0
472,0.0,1.0,1.0
473,2.0,0.0,2.0
474,0.0,2.0,1.0
475,1.0,1.0,1.0
477,2.0,0.0,1.0
479,2.0,0.0,1.0
482,1.0,0.0,3.0
484,3.0,0.0,0.0
485,1.0,3.0,0.0
486,2.0,2.0,1.0
488,1.0,2.0,1.0
490,1.0,2.0,0.0
491,1.0,1.0,1.0
492,1.0,0.0,3.0
493,1.0,2.0,0.0
494,0.0,2.0,0.0
496,0.0,3.0,1.0
497,1.0,2.0,1.0
