cell_id,ch1,ch2,ch1+ch2
5,1.0,1.0,2.0
6,0.0,1.0,1.0
7,2.0,1.0,1.0
8,2.0,2.0,1.0
9,2.0,2.0,1.0
10,1.0,1.0,0.0
11,0.0,1.0,2.0
14,1.0,2.0,0.0
16,0.0,0.0,2.0
17,0.0,0.0,2.0
20,2.0,0.0,1.0
21,1.0,1.0,1.0
22,0.0,0.0,3.0
23,0.0,1.0,2.0
24,2.0,0.0,1.0
25,0.0,0.0,2.0
26,0.0,0.0,3.0
27,1.0,1.0,1.0
28,0.0,1.0,1.0
29,2.0,1.0,1.0
31,1.0,0.0,1.0
32,1.0,1.0,0.0
33,3.0,1.0,0.0
35,0.0,0.0,2.0
36,1.0,2.0,2.0
37,1.0,1.0,2.0
39,0.0,0.0,2.0
40,1.0,1.0,3.0
41,0.0,3.0,1.0
42,0.0,0.0,2.0
43,2.0,1.0,1.0
44,2.0,1.0,1.0
46,2.0,0.0,0.0
47,0.0,0.0,3.0
49,0.0,2.0,2.0
51,1.0,1.0,2.0
53,0.0,0.0,3.0
54,0.0,0.0,3.0
56,0.0,2.0,0.0
58,1.0,1.0,2.0
60,0.0,0.0,2.0
62,0.0,1.0,1.0
63,1.0,3.0,1.0
64,2.0,2.0,0.0
65,1.0,1.0,2.0
66,2.0,1.0,0.0
67,3.0,0.0,2.0
68,0.0,0.0,2.0
69,1.0,2.0,2.0
71,0.0,0.0,2.0
72,1.0,1.0,2.0
74,0.0,2.0,0.0
75,0.0,0.0,3.0
81,1.0,0.0,2.0
82,2.0,2.0,0.0
83,0.0,0.0,3.0
86,1.0,0.0,2.0
87,0.0,0.0,3.0
89,0.0,2.0,3.0
90,2.0,1.0,0.0
91,1.0,2.0,0.0
95,1.0,1.0,2.0
96,1.0,2.0,0.0
97,0.0,1.0,1.0
100,1.0,0.0,2.0
103,1.0,1.0,1.0
104,0.0,1.0,3.0
105,0.0,0.0,2.0
106,0.0,0.0,2.0
109,1.0,1.0,3.0
110,0.0,0.0,3.0
112,0.0,3.0,0.0
113,1.0,1.0,2.0
114,0.0,0.0,2.0
115,1.0,2.0,1.0
116,1.0,1.0,1.0
117,3.0,1.0,0.0
120,1.0,2.0,2.0
121,2.0,2.0,0.0
123,1.0,2.0,1.0
124,1.0,1.0,1.0
126,1.0,1.0,2.0
127,2.0,2.0,1.0
128,2.0,0.0,0.0
129,1.0,1.0,1.0
130,1.0,0.0,1.0
132,1.0,0.0,1.0
133,0.0,1.0,1.0
134,1.0,2.0,1.0
