cell_id,ch1,ch2,ch1+ch2
12,2.0,1.0,0.0
14,2.0,1.0,0.0
15,0.0,0.0,2.0
16,2.0,2.0,0.0
17,1.0,0.0,1.0
18,1.0,1.0,1.0
19,1.0,1.0,2.0
20,1.0,1.0,1.0
21,2.0,1.0,0.0
24,3.0,0.0,1.0
26,1.0,1.0,1.0
27,2.0,1.0,0.0
28,2.0,1.0,1.0
29,2.0,0.0,1.0
30,0.0,0.0,2.0
31,1.0,1.0,0.0
32,2.0,2.0,0.0
34,0.0,0.0,2.0
35,0.0,1.0,2.0
36,2.0,0.0,1.0
37,1.0,0.0,1.0
38,1.0,0.0,1.0
39,3.0,0.0,0.0
42,0.0,1.0,1.0
44,0.0,0.0,2.0
45,2.0,0.0,1.0
46,2.0,2.0,0.0
47,0.0,1.0,2.0
48,1.0,1.0,2.0
49,3.0,2.0,0.0
50,3.0,1.0,0.0
52,1.0,1.0,0.0
53,2.0,1.0,1.0
54,0.0,0.0,2.0
55,2.0,1.0,1.0
56,2.0,2.0,0.0
57,1.0,2.0,0.0
58,2.0,1.0,0.0
59,0.0,1.0,1.0
60,3.0,2.0,0.0
63,2.0,0.0,1.0
65,1.0,0.0,1.0
66,1.0,1.0,1.0
67,0.0,2.0,1.0
68,1.0,1.0,1.0
70,1.0,1.0,1.0
71,1.0,3.0,0.0
73,2.0,2.0,0.0
74,3.0,1.0,0.0
75,3.0,2.0,0.0
76,1.0,2.0,0.0
78,1.0,1.0,0.0
79,1.0,1.0,1.0
81,0.0,2.0,0.0
82,2.0,2.0,0.0
83,2.0,2.0,0.0
84,1.0,2.0,0.0
86,2.0,1.0,0.0
87,0.0,0.0,3.0
88,2.0,2.0,0.0
90,2.0,2.0,0.0
91,2.0,2.0,0.0
92,1.0,2.0,0.0
93,0.0,3.0,0.0
94,0.0,0.0,3.0
96,1.0,1.0,1.0
98,0.0,0.0,2.0
99,2.0,2.0,0.0
100,0.0,0.0,2.0
101,2.0,2.0,0.0
102,2.0,2.0,0.0
104,1.0,0.0,1.0
107,2.0,2.0,0.0
