cell_id,ch1,ch1+ch2,ch2
12,1.0,3.0,0.0
13,1.0,1.0,1.0
14,0.0,0.0,2.0
17,0.0,2.0,0.0
18,2.0,0.0,1.0
20,1.0,3.0,0.0
21,0.0,2.0,0.0
23,0.0,2.0,0.0
24,0.0,2.0,0.0
25,1.0,1.0,0.0
26,0.0,2.0,0.0
27,0.0,2.0,0.0
28,0.0,2.0,0.0
29,1.0,3.0,1.0
30,1.0,2.0,0.0
31,2.0,0.0,1.0
32,0.0,2.0,0.0
33,0.0,3.0,0.0
34,0.0,0.0,2.0
35,1.0,1.0,1.0
36,1.0,0.0,1.0
37,1.0,0.0,3.0
40,1.0,1.0,3.0
42,0.0,1.0,3.0
43,1.0,0.0,2.0
44,0.0,3.0,0.0
46,1.0,1.0,2.0
47,1.0,0.0,2.0
48,1.0,1.0,0.0
49,2.0,2.0,1.0
50,0.0,1.0,1.0
51,3.0,1.0,1.0
53,2.0,1.0,1.0
54,1.0,2.0,1.0
55,0.0,2.0,1.0
56,1.0,0.0,3.0
59,0.0,1.0,3.0
60,1.0,1.0,1.0
61,2.0,2.0,1.0
62,0.0,0.0,2.0
65,0.0,2.0,0.0
66,1.0,1.0,2.0
68,1.0,1.0,1.0
69,3.0,0.0,2.0
71,0.0,2.0,0.0
72,0.0,2.0,0.0
73,1.0,1.0,2.0
74,0.0,3.0,1.0
77,1.0,1.0,0.0
79,1.0,1.0,1.0
80,1.0,2.0,0.0
81,0.0,2.0,0.0
82,0.0,3.0,0.0
84,1.0,1.0,1.0
88,0.0,2.0,0.0
89,0.0,2.0,0.0
90,2.0,1.0,1.0
92,3.0,0.0,1.0
93,0.0,3.0,1.0
95,2.0,1.0,2.0
96,0.0,2.0,0.0
97,1.0,2.0,1.0
102,2.0,1.0,0.0
103,2.0,0.0,1.0
104,0.0,2.0,0.0
105,1.0,1.0,1.0
106,0.0,1.0,1.0
107,1.0,2.0,0.0
111,2.0,2.0,1.0
112,0.0,3.0,0.0
113,0.0,3.0,0.0
114,0.0,3.0,0.0
115,2.0,1.0,2.0
116,1.0,2.0,1.0
118,1.0,2.0,1.0
119,1.0,2.0,0.0
120,1.0,2.0,1.0
121,1.0,2.0,1.0
124,1.0,1.0,2.0
125,0.0,1.0,1.0
129,1.0,2.0,0.0
131,0.0,2.0,1.0
132,1.0,0.0,3.0
133,2.0,1.0,2.0
134,0.0,0.0,2.0
135,2.0,1.0,2.0
136,0.0,2.0,1.0
137,3.0,0.0,2.0
138,2.0,0.0,0.0
139,2.0,2.0,1.0
140,3.0,0.0,1.0
141,0.0,2.0,0.0
142,0.0,2.0,1.0
144,0.0,3.0,1.0
147,0.0,1.0,1.0
148,0.0,0.0,3.0
149,0.0,2.0,0.0
150,1.0,1.0,2.0
151,1.0,1.0,1.0
152,2.0,0.0,2.0
153,0.0,2.0,0.0
155,1.0,1.0,3.0
156,0.0,2.0,0.0
157,2.0,2.0,0.0
158,0.0,2.0,0.0
159,0.0,1.0,2.0
161,1.0,1.0,1.0
162,3.0,1.0,1.0
163,1.0,1.0,2.0
