cell_id,ch1,ch2,ch1+ch2
5,2.0,2.0,0.0
8,1.0,1.0,1.0
9,2.0,1.0,0.0
11,1.0,0.0,3.0
12,0.0,0.0,3.0
13,1.0,1.0,1.0
14,1.0,0.0,1.0
15,2.0,1.0,1.0
16,3.0,2.0,0.0
19,2.0,1.0,0.0
21,3.0,0.0,1.0
22,2.0,2.0,0.0
24,2.0,2.0,0.0
25,2.0,0.0,1.0
26,1.0,0.0,2.0
27,1.0,3.0,0.0
29,1.0,1.0,1.0
30,0.0,1.0,2.0
31,2.0,2.0,0.0
33,0.0,1.0,1.0
35,0.0,1.0,2.0
37,1.0,2.0,0.0
38,2.0,1.0,1.0
39,1.0,0.0,2.0
40,1.0,0.0,1.0
41,2.0,0.0,1.0
42,1.0,1.0,0.0
44,1.0,2.0,0.0
45,1.0,0.0,1.0
47,2.0,2.0,0.0
49,2.0,0.0,0.0
51,1.0,2.0,0.0
52,1.0,1.0,2.0
53,0.0,0.0,3.0
55,1.0,0.0,1.0
56,1.0,0.0,1.0
58,1.0,2.0,0.0
59,0.0,3.0,2.0
61,2.0,3.0,0.0
62,1.0,0.0,1.0
63,1.0,1.0,1.0
64,1.0,1.0,2.0
65,2.0,3.0,0.0
66,2.0,2.0,0.0
67,1.0,0.0,2.0
68,1.0,0.0,2.0
69,2.0,1.0,0.0
70,2.0,2.0,0.0
71,0.0,0.0,2.0
72,1.0,1.0,0.0
74,1.0,1.0,1.0
76,2.0,2.0,0.0
78,0.0,0.0,2.0
79,2.0,1.0,1.0
80,2.0,3.0,0.0
81,1.0,1.0,1.0
83,1.0,1.0,2.0
84,0.0,0.0,2.0
85,1.0,1.0,2.0
86,0.0,2.0,0.0
87,1.0,0.0,1.0
88,2.0,2.0,0.0
89,0.0,0.0,3.0
90,0.0,0.0,2.0
91,1.0,1.0,1.0
92,1.0,1.0,1.0
94,2.0,1.0,0.0
96,2.0,2.0,0.0
98,1.0,1.0,0.0
99,2.0,2.0,0.0
101,0.0,1.0,2.0
102,2.0,2.0,0.0
103,0.0,1.0,2.0
105,2.0,2.0,0.0
107,0.0,0.0,2.0
108,0.0,2.0,2.0
110,1.0,2.0,1.0
113,0.0,3.0,1.0
114,1.0,0.0,2.0
117,0.0,2.0,0.0
120,1.0,1.0,2.0
121,0.0,0.0,2.0
127,2.0,2.0,0.0
130,0.0,0.0,3.0
132,1.0,1.0,1.0
133,1.0,1.0,0.0
134,0.0,1.0,2.0
135,0.0,1.0,2.0
137,2.0,2.0,0.0
138,2.0,2.0,0.0
