cell_id,ch1,ch2,ch1+ch2
8,2.0,2.0,1.0
9,2.0,0.0,2.0
10,0.0,0.0,2.0
11,0.0,1.0,1.0
12,1.0,0.0,2.0
13,0.0,1.0,2.0
14,0.0,1.0,2.0
15,1.0,1.0,2.0
16,2.0,1.0,1.0
17,2.0,2.0,1.0
18,0.0,2.0,1.0
19,2.0,1.0,1.0
20,1.0,1.0,3.0
22,1.0,1.0,1.0
23,3.0,1.0,0.0
24,1.0,0.0,2.0
25,0.0,0.0,2.0
26,1.0,1.0,2.0
27,0.0,1.0,1.0
28,1.0,0.0,2.0
29,2.0,2.0,1.0
31,1.0,0.0,3.0
32,0.0,0.0,2.0
34,2.0,2.0,1.0
35,2.0,2.0,0.0
36,3.0,2.0,0.0
38,1.0,2.0,1.0
40,0.0,0.0,3.0
43,1.0,1.0,2.0
44,1.0,1.0,2.0
45,1.0,2.0,1.0
46,0.0,1.0,2.0
48,0.0,0.0,3.0
49,0.0,3.0,0.0
51,0.0,0.0,2.0
52,1.0,2.0,1.0
54,2.0,2.0,1.0
57,1.0,1.0,2.0
60,0.0,0.0,3.0
61,1.0,0.0,1.0
64,0.0,0.0,2.0
65,2.0,2.0,1.0
66,2.0,1.0,1.0
67,1.0,2.0,0.0
68,1.0,1.0,2.0
69,0.0,1.0,2.0
70,1.0,1.0,2.0
71,1.0,1.0,2.0
72,2.0,0.0,3.0
73,2.0,2.0,0.0
74,1.0,1.0,2.0
75,2.0,2.0,1.0
76,0.0,2.0,1.0
77,0.0,1.0,1.0
78,0.0,1.0,2.0
79,1.0,1.0,1.0
81,2.0,1.0,0.0
84,0.0,0.0,3.0
85,2.0,1.0,2.0
86,1.0,0.0,2.0
87,1.0,1.0,1.0
88,0.0,0.0,3.0
90,0.0,1.0,3.0
91,0.0,1.0,2.0
