cell_id,ch1,ch2,ch1+ch2
6,3.0,1.0,0.0
8,1.0,1.0,1.0
9,0.0,0.0,2.0
11,2.0,1.0,0.0
12,0.0,1.0,2.0
13,3.0,2.0,0.0
14,0.0,0.0,3.0
17,3.0,2.0,0.0
18,0.0,1.0,1.0
19,0.0,1.0,1.0
20,2.0,0.0,0.0
22,1.0,0.0,2.0
23,0.0,3.0,0.0
24,1.0,1.0,3.0
26,1.0,1.0,1.0
27,2.0,2.0,1.0
28,0.0,0.0,3.0
29,2.0,0.0,1.0
30,1.0,2.0,0.0
31,3.0,0.0,1.0
32,0.0,2.0,0.0
33,2.0,2.0,1.0
35,0.0,1.0,1.0
36,0.0,0.0,2.0
37,1.0,2.0,0.0
39,1.0,0.0,3.0
41,0.0,0.0,2.0
42,2.0,2.0,0.0
44,1.0,2.0,1.0
46,1.0,0.0,2.0
47,1.0,1.0,2.0
50,3.0,1.0,0.0
51,1.0,2.0,0.0
52,1.0,2.0,1.0
53,1.0,1.0,1.0
54,1.0,0.0,1.0
55,1.0,1.0,2.0
56,1.0,1.0,2.0
57,1.0,3.0,1.0
58,1.0,1.0,2.0
61,0.0,0.0,2.0
62,2.0,1.0,1.0
63,0.0,2.0,0.0
64,1.0,0.0,2.0
65,0.0,3.0,1.0
66,1.0,1.0,1.0
67,3.0,1.0,0.0
68,0.0,2.0,1.0
69,2.0,2.0,0.0
70,1.0,0.0,2.0
71,0.0,2.0,2.0
72,0.0,0.0,2.0
73,0.0,0.0,3.0
74,0.0,1.0,1.0
76,2.0,2.0,0.0
77,1.0,1.0,1.0
78,0.0,1.0,2.0
80,2.0,0.0,1.0
82,1.0,2.0,1.0
83,1.0,0.0,1.0
84,2.0,2.0,0.0
85,2.0,1.0,2.0
86,0.0,2.0,0.0
87,1.0,2.0,0.0
89,0.0,0.0,3.0
90,0.0,1.0,2.0
91,0.0,0.0,3.0
92,0.0,0.0,3.0
93,0.0,1.0,1.0
94,1.0,1.0,1.0
95,2.0,1.0,0.0
96,0.0,0.0,3.0
97,0.0,0.0,2.0
99,1.0,0.0,2.0
100,2.0,1.0,2.0
101,0.0,1.0,1.0
103,1.0,0.0,2.0
106,1.0,0.0,2.0
107,0.0,3.0,0.0
108,0.0,1.0,1.0
110,1.0,0.0,1.0
111,0.0,0.0,3.0
113,1.0,2.0,0.0
115,1.0,0.0,1.0
116,1.0,1.0,1.0
117,2.0,0.0,2.0
118,0.0,0.0,2.0
119,1.0,0.0,2.0
120,2.0,2.0,1.0
121,1.0,1.0,2.0
123,3.0,1.0,1.0
125,0.0,1.0,2.0
126,0.0,2.0,0.0
127,1.0,2.0,1.0
132,0.0,2.0,1.0
134,0.0,2.0,1.0
136,0.0,3.0,1.0
138,2.0,0.0,2.0
139,0.0,2.0,1.0
144,0.0,1.0,2.0
145,1.0,1.0,2.0
147,2.0,1.0,1.0
148,0.0,1.0,1.0
149,3.0,1.0,0.0
150,0.0,0.0,2.0
151,0.0,2.0,2.0
152,0.0,3.0,0.0
154,1.0,0.0,3.0
155,3.0,1.0,1.0
156,0.0,0.0,2.0
157,0.0,1.0,1.0
158,2.0,0.0,2.0
159,0.0,1.0,2.0
