label,cell position,ch1,ch2,ch1+ch2
178,"660.52, 2472.48",2,2,2
179,"677.43, 1318.60",2,3,2
180,"679.93, 905.27",3,3,2
181,"681.41, 1881.34",2,4,1
182,"681.76, 1447.99",1,4,2
183,"686.77, 1619.46",2,2,4
184,"690.49, 1053.84",1,4,2
185,"684.93, 2187.80",0,3,2
186,"703.33, 61.86",2,3,2
187,"695.56, 2824.07",2,2,1
188,"704.03, 1539.42",1,4,1
189,"705.72, 3252.30",6,3,1
190,"712.67, 521.31",2,4,2
191,"722.43, 3983.02",2,3,2
192,"718.10, 3899.38",2,3,2
193,"716.23, 3117.60",1,5,2
194,"723.58, 394.07",1,4,2
195,"720.65, 2620.33",0,0,0
196,"752.63, 208.06",2,5,2
197,"746.28, 676.51",4,4,1
198,"734.05, 4034.90",1,2,1
199,"752.52, 1295.81",2,3,2
200,"767.30, 1795.27",2,3,2
201,"767.89, 2873.25",3,2,2
202,"751.70, 1580.34",1,4,3
203,"758.46, 3700.99",1,4,3
204,"761.24, 1947.40",1,2,0
205,"762.44, 3918.97",1,7,2
206,"766.37, 2528.14",2,4,1
207,"779.01, 2691.88",2,3,2
208,"767.00, 4013.55",2,1,0
209,"764.92, 1429.30",2,4,1
210,"776.71, 3030.67",2,3,1
211,"789.39, 340.50",1,2,3
212,"773.83, 4082.88",1,1,1
213,"785.37, 3862.53",1,3,1
214,"808.82, 568.52",2,4,2
215,"791.49, 1603.56",2,3,3
216,"797.37, 3978.93",0,3,2
217,"805.60, 3603.32",2,3,0
218,"800.69, 446.25",1,5,3
219,"812.31, 997.05",1,3,2
220,"805.83, 3186.92",2,4,2
221,"813.45, 2783.29",2,4,1
222,"833.40, 1393.41",1,3,2
223,"832.47, 2158.80",1,3,2
224,"827.51, 69.24",2,5,2
225,"830.47, 1247.48",2,3,2
226,"846.64, 3930.24",1,2,1
227,"848.17, 477.75",2,2,2
228,"859.54, 2990.42",1,3,2
229,"861.13, 1186.03",2,2,2
230,"856.83, 2342.85",1,2,1
231,"855.16, 4008.02",3,3,0
232,"862.86, 1823.39",1,3,3
233,"871.73, 3379.31",1,4,2
234,"861.71, 2616.05",2,3,1
235,"863.86, 1619.64",1,1,1
236,"878.72, 1023.62",1,4,2
238,"894.72, 1952.14",1,2,2
239,"900.63, 338.66",1,4,2
240,"898.71, 262.10",2,3,2
241,"910.89, 2296.20",2,2,2
243,"913.95, 3095.61",1,3,2
244,"907.30, 1725.11",1,3,2
245,"910.26, 3019.51",1,0,0
246,"925.11, 3614.62",1,4,2
247,"923.32, 3991.69",1,3,2
248,"941.81, 2748.91",2,4,1
249,"933.40, 668.27",1,3,2
250,"923.43, 196.91",0,4,3
251,"938.03, 1331.52",2,4,1
252,"935.96, 1095.46",2,3,2
253,"963.78, 992.19",1,7,2
254,"938.94, 2903.30",2,7,3
255,"941.46, 2822.43",1,4,2
256,"945.78, 2971.58",2,8,1
257,"943.47, 3892.91",2,3,1
258,"941.81, 72.44",3,1,1
259,"946.81, 4080.92",2,1,1
260,"948.88, 3504.46",2,3,1
262,"961.28, 1915.66",1,3,2
263,"949.87, 3029.39",0,2,1
264,"977.52, 276.29",1,2,3
265,"972.57, 2265.57",1,0,0
266,"985.72, 2518.66",3,2,0
267,"987.03, 1158.38",1,4,2
268,"993.06, 2363.41",2,2,1
269,"989.18, 3698.39",2,2,1
270,"999.55, 372.71",3,4,0
271,"998.23, 1693.40",1,8,2
272,"1015.45, 3064.71",1,3,1
273,"1009.08, 2588.69",1,3,2
274,"1013.53, 1592.62",1,4,2
275,"1013.45, 783.97",2,4,1
276,"1018.05, 3276.41",0,1,3
277,"1033.33, 1797.75",0,5,3
278,"1024.56, 1504.40",3,3,2
279,"1027.77, 1383.94",1,3,2
280,"1044.62, 156.71",1,4,3
281,"1036.16, 3994.11",1,3,2
282,"1038.03, 1272.96",1,4,2
283,"1055.29, 63.03",1,6,3
284,"1046.07, 3189.44",1,4,2
285,"1065.62, 1884.65",2,7,2
286,"1070.49, 643.70",3,4,0
287,"1059.04, 2683.61",1,2,1
288,"1065.53, 1314.36",1,2,2
289,"1070.49, 2285.72",1,5,2
290,"1068.23, 3119.94",1,1,1
291,"1082.28, 1042.82",3,3,1
292,"1084.56, 927.62",2,3,3
293,"1087.94, 3699.87",1,1,2
294,"1101.45, 3588.36",2,4,2
295,"1080.70, 3928.86",0,0,0
296,"1096.42, 1616.71",4,6,1
297,"1111.15, 3806.18",1,3,2
298,"1107.75, 757.47",1,3,2
299,"1109.62, 2217.62",1,4,2
300,"1114.11, 1971.62",1,2,1
302,"1109.53, 1244.06",3,4,0
303,"1129.79, 1358.31",1,4,3
304,"1126.47, 1458.94",2,3,2
305,"1124.72, 2472.12",1,3,2
306,"1123.65, 151.61",0,0,0
307,"1125.11, 1760.82",1,8,2
308,"1138.81, 10.45",1,0,1
309,"1134.53, 2156.37",1,4,1
310,"1148.50, 257.57",1,4,3
311,"1152.44, 4065.92",1,3,2
312,"1153.91, 1941.81",0,0,1
313,"1154.11, 875.46",2,2,1
314,"1151.07, 3898.28",2,3,1
315,"1160.82, 80.32",2,3,2
316,"1165.57, 2324.81",1,4,2
317,"1172.14, 3725.52",2,3,2
318,"1173.98, 2929.91",2,3,1
319,"1174.34, 1668.46",1,5,2
320,"1184.52, 168.35",1,2,2
321,"1191.48, 1167.77",2,3,2
322,"1172.74, 2806.10",2,4,1
323,"1173.00, 1537.74",2,2,0
324,"1180.99, 2026.05",2,6,1
326,"1186.71, 3083.25",1,4,3
327,"1176.19, 764.69",1,3,1
328,"1180.30, 1588.41",1,3,1
329,"1207.66, 1305.42",2,5,2
330,"1194.27, 2507.11",0,3,2
331,"1202.51, 2706.60",0,2,3
332,"1209.15, 676.76",1,4,2
333,"1206.58, 2409.76",1,3,2
334,"1220.41, 1392.82",1,4,2
335,"1228.22, 2272.56",2,3,1
336,"1220.68, 3409.64",1,2,1
337,"1229.95, 2759.78",1,3,2
338,"1234.03, 291.24",1,3,2
339,"1252.21, 3757.08",2,4,2
340,"1237.95, 3636.51",1,3,2
341,"1245.70, 766.37",2,4,1
342,"1244.51, 2485.11",1,4,2
343,"1249.58, 2876.94",1,3,2
344,"1262.75, 1207.15",1,5,2
345,"1253.95, 3960.30",1,3,2
346,"1246.79, 210.54",0,0,0
347,"1261.79, 834.22",2,3,1
348,"1276.02, 4071.54",1,2,2
349,"1277.09, 3232.44",1,1,1
350,"1288.72, 2556.51",2,3,2
351,"1288.71, 2154.02",1,4,2
352,"1310.10, 190.60",2,2,3
353,"1296.55, 1066.71",1,6,2
354,"1309.30, 3446.81",3,4,2
355,"1325.20, 2440.55",1,2,3
356,"1328.05, 585.62",1,3,1
357,"1324.97, 2264.82",2,4,3
358,"1336.87, 2818.60",2,5,5
359,"1347.43, 3776.57",1,3,2
360,"1331.94, 2191.34",1,3,1
361,"1334.73, 715.78",1,3,2
362,"1348.83, 3134.21",1,2,2
363,"1365.91, 235.61",2,5,2
364,"1359.06, 2738.64",0,2,2
365,"1369.52, 1292.18",1,5,2
366,"1391.16, 3368.89",1,4,2
367,"1382.70, 398.22",3,3,1
368,"1406.86, 1410.82",7,5,0
369,"1390.22, 617.22",1,2,2
370,"1379.86, 1103.50",1,3,1
371,"1406.77, 2125.76",1,5,2
372,"1396.77, 2759.76",1,2,0
373,"1419.83, 2226.76",0,5,3
374,"1414.05, 2671.42",3,4,1
375,"1409.83, 4012.32",2,1,2
376,"1427.44, 552.92",1,4,2
377,"1424.68, 255.14",2,2,0
378,"1421.36, 350.98",0,3,3
379,"1442.26, 2366.24",2,3,1
380,"1434.14, 2451.54",0,3,2
381,"1432.57, 3178.65",2,2,1
382,"1452.36, 3481.22",0,0,0
383,"1474.01, 723.96",2,5,2
384,"1458.92, 185.50",2,4,1
386,"1462.09, 1758.27",2,4,1
389,"1461.36, 327.93",1,4,2
391,"1456.83, 3956.69",0,0,0
395,"1469.76, 2787.61",2,2,0
396,"1459.36, 485.68",0,3,2
397,"1466.49, 1040.01",0,3,2
400,"1482.53, 2586.49",1,3,2
404,"1485.22, 3096.99",1,3,2
405,"1481.91, 428.72",1,4,1
406,"1482.35, 3421.68",2,4,0
407,"1486.75, 589.33",2,3,1
408,"1488.98, 2425.73",1,3,1
409,"1483.90, 2882.30",3,2,1
412,"1499.39, 37.41",2,4,1
413,"1502.19, 1300.63",1,1,1
