label,cell position,ch1,ch2,ch1+ch2
309,"2271.18, 1761.53",2,2,1
311,"2271.48, 611.26",1,0,0
314,"2302.58, 3561.76",0,0,0
319,"2304.83, 1462.55",8,3,0
320,"2321.05, 2306.24",3,0,1
321,"2309.36, 639.45",0,1,0
322,"2339.73, 807.53",23,9,4
323,"2329.03, 1736.31",1,5,0
324,"2340.89, 3811.10",2,2,0
325,"2331.34, 2571.42",9,7,2
326,"2340.39, 2682.74",5,3,0
329,"2342.25, 1377.64",4,0,0
330,"2352.74, 1443.70",1,4,0
338,"2390.12, 2496.65",2,2,1
340,"2388.28, 961.44",8,2,0
342,"2377.00, 3003.68",0,1,0
344,"2391.31, 3592.50",0,2,0
345,"2414.19, 2628.63",3,2,0
346,"2413.16, 3566.88",4,0,0
347,"2438.22, 794.44",5,0,0
358,"2468.30, 1563.82",2,3,0
359,"2482.09, 1103.72",3,3,0
360,"2466.64, 2725.45",2,3,0
361,"2498.60, 2925.69",6,3,0
362,"2480.55, 976.53",0,1,0
365,"2534.37, 2797.86",2,4,0
368,"2550.02, 247.25",0,0,0
369,"2546.19, 1556.11",0,0,0
370,"2546.14, 1766.24",3,0,0
371,"2560.81, 2715.93",2,3,0
372,"2562.49, 2152.68",1,2,0
373,"2572.93, 1699.75",4,2,0
374,"2560.98, 2294.36",2,1,0
376,"2578.68, 2071.11",3,3,0
380,"2599.03, 2961.83",4,2,1
381,"2611.20, 1990.98",3,4,0
382,"2609.83, 2247.72",1,3,0
383,"2612.69, 1235.59",3,2,1
389,"2640.17, 549.42",2,3,0
391,"2638.89, 184.41",2,3,0
392,"2645.40, 3168.88",6,2,0
393,"2656.26, 1332.45",3,3,0
401,"2671.03, 3491.92",4,2,0
412,"2728.35, 1533.08",3,1,0
413,"2720.76, 1979.48",3,0,0
414,"2736.24, 3146.22",8,0,0
418,"2730.03, 2461.33",2,6,0
421,"2731.22, 1295.73",1,3,0
424,"2742.25, 1730.10",3,8,4
425,"2754.88, 1822.83",1,4,1
426,"2754.78, 1378.78",2,6,1
427,"2744.19, 3921.36",2,1,1
431,"2806.86, 1457.92",2,1,0
432,"2823.46, 1396.25",2,0,0
434,"2848.51, 1319.98",0,0,0
437,"2915.03, 2097.35",3,7,0
438,"2892.73, 1843.72",0,0,0
439,"2909.83, 4064.98",5,5,1
440,"2924.81, 865.64",5,6,0
441,"2920.29, 1104.87",3,1,0
442,"2931.20, 2596.37",3,5,0
443,"2934.66, 2838.77",1,3,1
444,"2937.92, 2479.36",4,2,0
445,"2941.51, 15.10",1,3,0
447,"2977.11, 201.82",1,0,0
448,"2977.41, 1904.78",2,7,0
455,"2989.84, 2846.19",1,1,1
