label,cell position,ch1,ch2,ch1+ch2
187,"1453.05, 1319.51",1,8,0
188,"1454.61, 2935.47",1,1,0
189,"1481.20, 3904.31",2,2,0
190,"1477.24, 899.29",2,2,0
191,"1473.98, 659.24",0,6,0
192,"1499.58, 82.99",0,5,0
193,"1512.45, 417.51",0,4,0
194,"1537.36, 474.08",1,17,0
195,"1517.22, 2209.30",0,0,0
196,"1521.60, 1007.49",2,2,0
197,"1517.67, 3022.74",0,1,0
198,"1526.87, 1799.64",0,8,0
199,"1520.07, 3056.96",0,0,0
200,"1526.90, 228.04",0,4,0
201,"1544.82, 1178.72",1,2,1
202,"1549.63, 2788.42",0,2,0
203,"1552.30, 300.73",0,4,0
204,"1558.61, 393.34",0,8,0
205,"1558.98, 3056.26",0,2,0
206,"1567.03, 339.60",0,8,0
207,"1572.66, 679.52",1,2,0
208,"1579.63, 107.59",1,12,0
209,"1586.97, 3226.05",1,1,0
210,"1604.94, 294.95",0,9,0
211,"1625.05, 452.97",0,16,0
212,"1623.52, 144.64",0,6,0
213,"1644.97, 290.30",1,3,0
214,"1667.02, 264.71",1,3,0
215,"1673.22, 3008.03",4,3,0
216,"1670.47, 192.01",0,2,0
217,"1702.49, 358.56",0,17,0
218,"1684.69, 239.40",0,4,0
219,"1684.67, 2751.00",1,2,0
220,"1694.97, 3146.16",0,2,0
221,"1708.87, 1910.25",0,4,0
222,"1714.40, 2717.82",2,2,0
223,"1722.32, 269.25",0,7,0
224,"1728.55, 2295.75",0,2,0
225,"1754.03, 2785.48",2,1,0
226,"1766.55, 1871.22",2,3,0
227,"1764.22, 2436.81",0,0,0
228,"1765.03, 3176.47",0,3,0
229,"1835.72, 1352.55",3,2,0
230,"1814.18, 2089.67",3,3,0
231,"1839.64, 2034.07",1,2,0
232,"1852.68, 1808.28",0,0,0
233,"1862.61, 1878.97",2,3,0
234,"1871.21, 3306.42",4,3,0
235,"1882.73, 1210.87",2,4,0
236,"1905.27, 732.23",1,2,1
239,"1976.52, 118.32",5,1,1
240,"1977.88, 3371.56",0,0,0
241,"2025.49, 645.95",1,3,0
242,"2042.12, 4078.45",0,1,0
243,"2053.50, 286.96",0,7,0
244,"2085.19, 196.78",0,8,0
246,"2116.56, 227.09",1,5,0
247,"2119.90, 329.18",0,6,0
249,"2135.02, 2774.60",0,4,0
250,"2154.33, 77.70",0,3,0
251,"2164.65, 1923.57",1,2,0
252,"2171.32, 2970.70",1,3,0
253,"2179.85, 4074.65",1,1,0
254,"2205.80, 256.48",0,5,0
255,"2170.16, 582.67",1,6,0
256,"2184.96, 3722.83",2,2,0
257,"2191.94, 2268.62",1,2,0
258,"2214.86, 178.92",9,1,0
259,"2201.20, 307.17",0,7,0
260,"2212.61, 2231.63",1,0,0
261,"2213.29, 354.66",2,5,0
262,"2211.45, 3582.15",0,0,0
263,"2232.15, 2957.66",1,4,0
264,"2229.31, 699.21",0,2,0
265,"2250.31, 1928.97",0,2,0
266,"2293.38, 360.54",4,5,0
267,"2311.85, 3270.12",1,2,0
268,"2308.00, 117.93",0,3,0
269,"2317.27, 3356.21",0,2,0
270,"2334.03, 1894.58",2,2,0
271,"2335.49, 3552.04",0,2,0
272,"2435.35, 2874.12",0,1,0
275,"2459.56, 272.88",0,3,0
282,"2479.43, 2105.42",1,2,0
283,"2478.51, 3350.25",0,2,0
289,"2500.27, 1188.94",3,2,0
290,"2496.99, 2797.95",2,1,0
291,"2495.24, 1088.82",3,4,1
293,"2502.57, 2634.40",0,4,0
295,"2514.69, 4010.71",1,2,0
296,"2527.99, 340.98",2,5,0
297,"2558.38, 267.76",0,3,0
298,"2563.52, 3459.05",1,2,0
299,"2595.70, 3107.01",1,2,0
300,"2609.03, 2269.40",1,4,1
301,"2626.92, 1551.88",0,2,0
302,"2630.73, 2550.31",2,2,0
303,"2644.26, 2486.38",2,4,1
304,"2660.77, 2160.88",2,1,1
305,"2675.12, 977.00",0,2,0
306,"2776.04, 1225.02",0,3,0
307,"2776.18, 1408.99",1,2,0
308,"2769.80, 1691.18",2,2,0
309,"2793.10, 1474.71",0,2,0
310,"2811.14, 63.67",1,4,0
311,"2826.27, 897.92",1,2,0
312,"2840.99, 3745.48",1,2,0
313,"2872.97, 129.60",4,2,0
314,"2873.88, 1671.02",0,5,0
315,"2863.93, 341.55",2,3,0
316,"2920.11, 56.42",1,4,0
