label,cell position,ch1,ch2,ch1+ch2
208,"1462.06, 1375.36",1,2,0
209,"1506.54, 545.36",2,2,0
210,"1502.35, 9.74",1,1,0
211,"1525.65, 205.84",1,2,0
212,"1530.74, 1322.61",1,2,0
213,"1567.86, 2093.68",1,1,0
214,"1535.97, 1197.13",2,1,0
215,"1565.12, 404.05",0,3,1
216,"1568.74, 1368.92",1,1,0
217,"1547.52, 1279.91",1,2,0
219,"1561.26, 1094.94",0,0,0
221,"1590.18, 3314.34",1,3,0
222,"1597.73, 3244.45",3,2,1
223,"1607.05, 1620.60",3,0,0
224,"1641.98, 1279.02",1,3,0
225,"1662.78, 1616.30",6,8,0
226,"1660.76, 1969.45",2,4,0
227,"1665.77, 1330.02",2,4,0
228,"1699.90, 1228.97",2,2,0
229,"1687.72, 867.19",1,26,0
230,"1702.52, 2136.87",1,2,1
231,"1722.45, 957.59",1,2,0
232,"1711.62, 1363.76",4,0,0
233,"1748.12, 2707.36",7,4,1
234,"1724.52, 1142.78",1,3,0
236,"1754.84, 3787.02",1,2,1
237,"1744.20, 1985.32",3,1,0
238,"1754.69, 1217.36",1,3,0
239,"1755.42, 2092.76",1,1,1
241,"1774.44, 837.65",2,3,0
242,"1785.55, 2345.07",7,12,1
243,"1766.29, 1380.74",0,4,0
244,"1796.60, 3306.83",1,2,0
245,"1781.18, 2435.67",2,2,0
246,"1782.83, 1627.31",2,2,0
248,"1814.77, 748.64",1,33,0
249,"1805.44, 2594.63",2,1,0
250,"1827.13, 2647.13",1,2,0
252,"1819.34, 2497.29",0,3,0
254,"1845.44, 2533.08",2,0,0
255,"1876.55, 2599.54",4,7,1
256,"1875.53, 2685.23",4,2,0
257,"1862.97, 2258.34",1,36,0
258,"1883.77, 586.84",4,2,0
259,"1880.80, 1002.22",2,25,0
261,"1882.45, 663.83",8,5,0
262,"1920.52, 1937.53",0,8,0
263,"1922.71, 525.06",1,2,0
265,"1937.71, 1782.58",1,0,0
267,"1956.82, 584.61",7,7,1
268,"1944.60, 742.49",3,4,0
269,"1957.27, 2648.57",2,5,0
270,"1951.49, 2608.55",1,0,0
272,"1957.00, 1705.29",1,1,0
273,"1975.30, 3518.24",2,2,0
274,"1991.34, 2678.38",0,4,3
275,"1987.87, 1305.70",2,1,0
276,"2004.99, 2525.84",2,2,0
277,"2015.84, 526.54",2,0,0
279,"2017.77, 1972.23",1,2,0
280,"2007.68, 2334.12",2,1,0
281,"2017.53, 767.48",2,7,1
282,"2013.99, 859.17",3,0,0
283,"2025.62, 3720.13",1,2,0
286,"2031.73, 1732.19",1,1,0
287,"2043.58, 1468.14",0,1,0
288,"2052.73, 2321.88",2,2,0
290,"2062.00, 648.54",5,6,0
291,"2065.24, 748.87",2,3,0
292,"2065.48, 1081.28",2,2,0
293,"2065.16, 568.61",1,1,0
294,"2074.59, 508.40",1,2,2
295,"2086.26, 2410.28",1,3,0
296,"2085.66, 459.64",0,0,0
297,"2080.93, 838.08",2,4,0
298,"2099.22, 1612.05",1,1,0
299,"2109.24, 273.20",2,2,0
300,"2111.90, 60.97",2,2,0
301,"2111.38, 1907.99",2,1,0
302,"2134.95, 2891.30",1,2,0
303,"2128.24, 587.38",2,2,0
304,"2136.70, 1479.00",1,3,0
305,"2130.65, 2432.25",0,0,0
306,"2139.69, 979.41",0,2,1
307,"2131.48, 469.72",0,1,0
308,"2163.01, 541.39",2,5,0
310,"2159.53, 2378.07",1,0,0
311,"2186.04, 1084.31",1,2,0
313,"2158.44, 1692.10",0,1,0
314,"2181.79, 447.35",2,1,0
315,"2189.17, 1180.95",1,2,0
316,"2181.30, 2827.50",0,3,0
