label,cell position,ch1,ch2,ch1+ch2
185,"2145.92, 2880.92",3,0,0
186,"2151.30, 2521.39",6,1,1
187,"2169.59, 1028.51",5,1,2
188,"2176.47, 2175.02",9,2,0
189,"2198.79, 1528.57",11,2,1
190,"2219.96, 1935.77",10,0,1
191,"2231.64, 2865.53",6,2,1
192,"2235.10, 1864.49",9,1,0
193,"2247.37, 1560.55",0,1,1
196,"2312.53, 1430.58",6,1,0
197,"2302.79, 4027.59",5,2,2
198,"2318.18, 2924.30",4,2,0
199,"2338.40, 4085.65",1,1,2
200,"2354.08, 637.02",10,2,1
201,"2360.00, 3104.98",8,2,1
202,"2396.87, 442.92",14,2,0
203,"2397.21, 1387.77",7,1,0
204,"2417.16, 3044.16",5,2,1
205,"2434.78, 141.42",6,3,2
206,"2434.64, 4013.45",2,3,3
207,"2438.50, 1824.10",8,0,1
208,"2441.85, 3220.48",5,6,0
209,"2459.06, 349.79",7,2,2
210,"2460.88, 573.55",9,2,1
211,"2498.70, 1892.60",8,2,1
212,"2489.78, 1679.54",7,1,1
213,"2493.93, 958.93",5,1,1
214,"2494.19, 252.05",8,1,1
215,"2490.42, 4077.51",1,0,0
216,"2510.59, 1626.27",1,0,0
217,"2573.70, 2617.43",1,0,1
218,"2549.15, 2319.43",5,3,2
219,"2551.80, 3937.24",1,1,1
220,"2560.42, 282.56",11,1,0
221,"2588.64, 2451.09",7,1,0
222,"2587.11, 3657.90",5,0,1
223,"2623.13, 982.69",6,2,1
224,"2638.06, 2774.62",3,2,1
225,"2633.12, 1220.02",11,2,0
226,"2642.19, 2383.86",8,1,0
227,"2644.65, 2305.24",5,1,1
228,"2690.27, 2476.65",4,2,3
229,"2687.80, 1011.33",4,0,1
230,"2713.69, 110.56",14,1,1
231,"2719.99, 671.50",5,2,1
232,"2727.86, 1405.60",5,1,1
233,"2733.00, 3857.79",2,2,1
234,"2748.24, 287.75",4,2,0
235,"2739.25, 3320.19",0,0,0
237,"2774.90, 1979.19",5,2,1
238,"2812.11, 3570.63",3,1,0
239,"2811.25, 473.34",0,1,0
240,"2851.95, 2139.38",5,2,3
241,"2851.43, 470.31",5,0,0
242,"2871.53, 3713.97",5,1,0
243,"2876.52, 368.06",9,1,0
244,"2906.19, 3235.82",2,0,1
245,"2920.09, 2368.62",1,1,1
246,"2905.30, 148.18",0,1,0
247,"2929.02, 1316.27",0,3,0
248,"2965.62, 3740.79",5,2,1
249,"2978.51, 1263.38",2,0,0
250,"2984.65, 1103.35",9,1,1
