cell_id,ch2,ch1+ch2,ch1
15,1.0,1.0,0.0
18,1.0,1.0,1.0
19,1.0,2.0,1.0
21,1.0,1.0,1.0
22,2.0,1.0,0.0
23,0.0,3.0,0.0
25,2.0,1.0,2.0
27,0.0,3.0,0.0
29,1.0,1.0,0.0
32,0.0,3.0,0.0
33,2.0,0.0,2.0
34,1.0,2.0,1.0
35,1.0,2.0,1.0
36,2.0,0.0,3.0
38,2.0,1.0,1.0
39,0.0,3.0,0.0
40,0.0,2.0,0.0
41,0.0,2.0,0.0
43,1.0,2.0,1.0
45,2.0,0.0,2.0
46,1.0,2.0,2.0
47,1.0,2.0,1.0
48,2.0,1.0,0.0
49,0.0,2.0,2.0
50,0.0,1.0,2.0
53,1.0,0.0,2.0
54,1.0,0.0,1.0
56,3.0,0.0,2.0
57,2.0,1.0,2.0
58,1.0,2.0,2.0
59,1.0,2.0,1.0
60,1.0,1.0,1.0
62,0.0,2.0,0.0
63,0.0,1.0,1.0
64,2.0,1.0,1.0
66,0.0,2.0,0.0
68,1.0,3.0,1.0
71,2.0,1.0,2.0
72,0.0,3.0,0.0
73,1.0,2.0,1.0
74,1.0,2.0,1.0
75,1.0,2.0,1.0
76,1.0,1.0,0.0
78,0.0,1.0,1.0
79,1.0,0.0,2.0
82,1.0,1.0,1.0
83,1.0,1.0,0.0
85,0.0,2.0,1.0
86,1.0,0.0,2.0
87,1.0,2.0,1.0
88,2.0,0.0,1.0
90,1.0,2.0,1.0
91,1.0,2.0,1.0
92,2.0,0.0,2.0
93,0.0,2.0,1.0
94,2.0,1.0,1.0
95,2.0,0.0,1.0
96,2.0,2.0,1.0
97,1.0,2.0,0.0
98,2.0,0.0,0.0
99,2.0,1.0,2.0
100,2.0,1.0,1.0
101,2.0,0.0,2.0
102,1.0,2.0,0.0
103,2.0,1.0,1.0
104,1.0,1.0,1.0
106,1.0,2.0,1.0
108,2.0,1.0,1.0
109,1.0,2.0,1.0
110,0.0,2.0,0.0
112,2.0,1.0,2.0
113,1.0,1.0,1.0
114,0.0,3.0,1.0
115,0.0,2.0,2.0
116,2.0,2.0,0.0
117,1.0,2.0,1.0
118,0.0,2.0,1.0
119,1.0,0.0,2.0
120,1.0,1.0,1.0
121,1.0,1.0,2.0
122,2.0,0.0,2.0
123,1.0,2.0,1.0
124,1.0,2.0,2.0
125,1.0,2.0,0.0
126,1.0,2.0,2.0
128,1.0,1.0,0.0
129,1.0,2.0,0.0
130,1.0,2.0,0.0
131,1.0,1.0,1.0
132,1.0,2.0,1.0
133,0.0,1.0,1.0
134,2.0,1.0,1.0
135,2.0,0.0,0.0
136,2.0,1.0,0.0
137,0.0,2.0,1.0
138,1.0,2.0,1.0
139,0.0,2.0,0.0
143,3.0,0.0,1.0
144,1.0,1.0,1.0
145,1.0,2.0,1.0
146,1.0,1.0,1.0
147,1.0,2.0,0.0
148,0.0,1.0,2.0
149,2.0,0.0,1.0
150,1.0,2.0,0.0
151,1.0,1.0,1.0
152,1.0,2.0,2.0
154,0.0,1.0,1.0
155,0.0,2.0,1.0
156,0.0,2.0,1.0
158,0.0,1.0,1.0
159,0.0,2.0,0.0
160,0.0,3.0,0.0
161,2.0,0.0,1.0
163,1.0,2.0,1.0
164,2.0,0.0,2.0
166,0.0,0.0,2.0
167,0.0,2.0,1.0
168,2.0,1.0,0.0
169,0.0,3.0,0.0
170,1.0,3.0,0.0
172,0.0,2.0,0.0
174,1.0,2.0,2.0
175,2.0,0.0,1.0
177,1.0,2.0,2.0
185,1.0,2.0,1.0
188,1.0,2.0,2.0
189,1.0,1.0,1.0
191,1.0,2.0,1.0
192,1.0,1.0,2.0
193,1.0,0.0,2.0
194,1.0,2.0,1.0
195,0.0,2.0,2.0
196,2.0,0.0,2.0
197,0.0,2.0,2.0
198,0.0,2.0,0.0
199,2.0,1.0,2.0
200,0.0,2.0,0.0
201,0.0,3.0,0.0
202,1.0,2.0,0.0
203,0.0,2.0,1.0
205,0.0,2.0,1.0
207,1.0,1.0,2.0
208,1.0,0.0,2.0
209,0.0,2.0,0.0
210,1.0,1.0,2.0
211,2.0,1.0,1.0
212,1.0,0.0,3.0
214,3.0,0.0,0.0
215,2.0,1.0,1.0
216,1.0,1.0,0.0
217,1.0,1.0,0.0
218,0.0,2.0,1.0
219,1.0,2.0,0.0
222,1.0,1.0,1.0
224,1.0,1.0,0.0
225,1.0,0.0,2.0
226,3.0,0.0,1.0
227,1.0,1.0,2.0
228,2.0,1.0,1.0
229,1.0,2.0,0.0
230,2.0,0.0,2.0
231,1.0,1.0,1.0
232,0.0,2.0,1.0
233,2.0,1.0,1.0
234,1.0,0.0,1.0
235,0.0,2.0,2.0
237,1.0,1.0,1.0
240,0.0,3.0,0.0
241,0.0,2.0,0.0
242,0.0,2.0,0.0
243,0.0,1.0,1.0
247,0.0,2.0,0.0
248,1.0,0.0,2.0
249,1.0,0.0,3.0
251,1.0,1.0,1.0
252,1.0,1.0,2.0
253,1.0,2.0,0.0
254,1.0,2.0,2.0
255,0.0,3.0,0.0
257,2.0,0.0,2.0
258,1.0,2.0,0.0
259,2.0,0.0,3.0
261,1.0,2.0,1.0
263,0.0,2.0,0.0
264,0.0,1.0,2.0
265,1.0,2.0,0.0
266,0.0,0.0,3.0
267,0.0,2.0,0.0
268,1.0,1.0,0.0
270,1.0,0.0,2.0
271,0.0,2.0,0.0
272,0.0,0.0,2.0
273,0.0,1.0,2.0
274,0.0,2.0,0.0
275,0.0,2.0,1.0
276,3.0,0.0,0.0
277,1.0,3.0,1.0
279,1.0,1.0,1.0
280,2.0,1.0,2.0
281,0.0,3.0,0.0
282,2.0,1.0,1.0
283,2.0,1.0,0.0
284,0.0,1.0,2.0
285,2.0,0.0,1.0
286,1.0,2.0,0.0
287,2.0,1.0,2.0
288,1.0,0.0,3.0
289,1.0,2.0,0.0
290,2.0,0.0,0.0
291,2.0,0.0,3.0
292,1.0,1.0,1.0
293,2.0,1.0,2.0
294,2.0,2.0,0.0
296,2.0,2.0,0.0
297,1.0,1.0,1.0
298,2.0,1.0,2.0
299,0.0,2.0,1.0
300,0.0,2.0,1.0
301,0.0,2.0,0.0
302,2.0,1.0,1.0
303,2.0,0.0,1.0
305,0.0,2.0,1.0
307,0.0,3.0,1.0
308,0.0,2.0,1.0
309,1.0,1.0,0.0
310,2.0,0.0,2.0
311,1.0,2.0,2.0
312,1.0,1.0,1.0
313,2.0,1.0,1.0
314,2.0,1.0,0.0
316,0.0,2.0,0.0
317,0.0,2.0,1.0
318,1.0,2.0,1.0
319,1.0,0.0,1.0
320,1.0,2.0,0.0
321,1.0,1.0,1.0
323,0.0,3.0,0.0
326,1.0,1.0,2.0
329,0.0,2.0,0.0
330,2.0,1.0,1.0
331,1.0,1.0,3.0
332,0.0,3.0,0.0
333,0.0,1.0,2.0
334,1.0,1.0,1.0
335,0.0,1.0,1.0
