cell_id,ch1,ch2,ch1+ch2
6,3.0,1.0,0.0
8,2.0,1.0,1.0
9,0.0,0.0,2.0
10,2.0,1.0,2.0
12,1.0,0.0,1.0
13,0.0,0.0,2.0
14,0.0,1.0,2.0
16,1.0,1.0,1.0
17,2.0,1.0,0.0
18,2.0,0.0,1.0
19,1.0,2.0,1.0
20,0.0,2.0,1.0
21,0.0,1.0,2.0
22,2.0,2.0,1.0
23,0.0,1.0,2.0
24,0.0,0.0,2.0
26,1.0,1.0,1.0
30,0.0,0.0,2.0
31,2.0,2.0,1.0
32,1.0,0.0,2.0
34,1.0,1.0,2.0
36,1.0,0.0,2.0
38,1.0,1.0,1.0
40,0.0,2.0,1.0
41,1.0,0.0,2.0
42,1.0,1.0,0.0
43,0.0,1.0,2.0
44,2.0,2.0,1.0
47,2.0,1.0,1.0
49,3.0,1.0,1.0
50,0.0,0.0,3.0
51,1.0,0.0,2.0
52,0.0,0.0,2.0
53,1.0,1.0,2.0
54,0.0,0.0,2.0
56,0.0,0.0,3.0
58,2.0,2.0,1.0
60,2.0,1.0,0.0
61,2.0,1.0,1.0
63,1.0,2.0,1.0
64,0.0,0.0,3.0
65,1.0,0.0,1.0
66,1.0,0.0,2.0
67,0.0,0.0,3.0
68,2.0,0.0,1.0
69,1.0,0.0,2.0
70,1.0,0.0,2.0
73,1.0,3.0,0.0
74,0.0,0.0,2.0
76,1.0,1.0,1.0
77,1.0,1.0,1.0
78,0.0,1.0,2.0
80,3.0,1.0,0.0
81,1.0,0.0,2.0
82,2.0,2.0,1.0
83,2.0,2.0,1.0
84,1.0,1.0,2.0
87,1.0,0.0,2.0
88,0.0,0.0,3.0
89,2.0,1.0,2.0
90,2.0,0.0,0.0
91,2.0,2.0,1.0
92,0.0,1.0,2.0
93,1.0,1.0,2.0
94,1.0,2.0,0.0
95,0.0,0.0,3.0
96,1.0,3.0,0.0
97,0.0,1.0,2.0
98,0.0,1.0,2.0
99,0.0,0.0,3.0
102,0.0,0.0,3.0
103,1.0,1.0,1.0
104,2.0,2.0,1.0
105,1.0,1.0,2.0
106,1.0,0.0,3.0
107,1.0,2.0,0.0
108,1.0,0.0,1.0
109,1.0,1.0,2.0
110,2.0,1.0,1.0
