cell_id,ch1,ch1+ch2,ch2
5,1.0,2.0,0.0
6,0.0,2.0,0.0
7,2.0,0.0,1.0
9,3.0,0.0,1.0
10,1.0,0.0,2.0
11,1.0,2.0,1.0
12,0.0,3.0,0.0
13,0.0,2.0,1.0
15,0.0,2.0,1.0
16,1.0,0.0,1.0
18,1.0,2.0,1.0
19,1.0,2.0,2.0
22,1.0,2.0,1.0
23,0.0,1.0,1.0
25,2.0,0.0,0.0
26,1.0,0.0,1.0
27,0.0,2.0,0.0
28,1.0,0.0,3.0
29,0.0,2.0,0.0
30,0.0,3.0,0.0
31,0.0,3.0,0.0
33,0.0,3.0,0.0
34,0.0,3.0,0.0
36,0.0,2.0,0.0
38,0.0,2.0,0.0
39,2.0,1.0,2.0
40,0.0,3.0,0.0
41,2.0,1.0,2.0
43,0.0,3.0,0.0
45,0.0,1.0,2.0
47,0.0,3.0,0.0
48,1.0,2.0,1.0
49,1.0,2.0,0.0
50,1.0,2.0,1.0
51,2.0,2.0,1.0
52,3.0,0.0,2.0
53,1.0,1.0,1.0
55,1.0,1.0,1.0
56,0.0,3.0,1.0
57,0.0,1.0,1.0
58,1.0,1.0,1.0
59,1.0,2.0,1.0
60,1.0,1.0,1.0
61,0.0,2.0,0.0
62,1.0,1.0,1.0
63,3.0,1.0,0.0
64,0.0,2.0,0.0
65,1.0,2.0,0.0
66,2.0,1.0,1.0
67,3.0,0.0,2.0
69,2.0,1.0,2.0
71,2.0,1.0,2.0
73,2.0,0.0,2.0
76,0.0,3.0,0.0
79,2.0,2.0,0.0
81,1.0,2.0,1.0
82,2.0,1.0,2.0
83,2.0,2.0,1.0
84,1.0,1.0,1.0
86,2.0,0.0,3.0
87,1.0,2.0,1.0
88,1.0,2.0,1.0
89,1.0,2.0,0.0
90,2.0,0.0,2.0
91,2.0,0.0,2.0
93,1.0,0.0,3.0
95,1.0,0.0,3.0
96,1.0,1.0,2.0
98,1.0,2.0,0.0
99,0.0,1.0,2.0
