cell_id,ch1,ch2,ch1+ch2
309,2.0,2.0,1.0
310,2.0,1.0,2.0
311,1.0,2.0,2.0
312,2.0,2.0,1.0
313,2.0,2.0,0.0
314,0.0,1.0,2.0
315,1.0,1.0,0.0
316,1.0,1.0,2.0
318,2.0,1.0,1.0
319,2.0,2.0,0.0
320,1.0,2.0,1.0
321,2.0,3.0,0.0
323,2.0,1.0,1.0
324,1.0,1.0,1.0
325,2.0,1.0,2.0
326,1.0,2.0,2.0
327,0.0,1.0,2.0
328,0.0,0.0,3.0
329,3.0,2.0,0.0
330,1.0,1.0,2.0
331,2.0,2.0,1.0
332,3.0,1.0,1.0
333,2.0,2.0,1.0
334,2.0,2.0,1.0
335,1.0,1.0,2.0
336,2.0,1.0,1.0
337,1.0,1.0,2.0
339,1.0,2.0,2.0
340,2.0,1.0,1.0
341,1.0,1.0,2.0
343,1.0,2.0,1.0
345,1.0,1.0,1.0
348,1.0,1.0,2.0
349,1.0,2.0,2.0
351,2.0,0.0,1.0
352,1.0,2.0,1.0
353,2.0,2.0,1.0
355,1.0,2.0,1.0
356,1.0,1.0,2.0
357,1.0,2.0,2.0
358,2.0,1.0,1.0
359,2.0,2.0,1.0
360,1.0,1.0,1.0
361,1.0,0.0,2.0
364,2.0,2.0,1.0
365,2.0,2.0,1.0
366,2.0,1.0,1.0
367,2.0,2.0,1.0
368,1.0,2.0,0.0
369,1.0,3.0,1.0
370,3.0,1.0,1.0
371,2.0,2.0,1.0
372,1.0,1.0,2.0
373,1.0,1.0,2.0
375,1.0,1.0,1.0
376,0.0,1.0,1.0
377,3.0,2.0,0.0
380,0.0,2.0,1.0
381,0.0,0.0,2.0
384,2.0,2.0,0.0
385,0.0,0.0,2.0
387,0.0,0.0,2.0
388,1.0,1.0,2.0
391,1.0,1.0,2.0
393,1.0,2.0,1.0
394,2.0,2.0,0.0
395,2.0,2.0,1.0
396,2.0,1.0,1.0
397,1.0,2.0,1.0
400,0.0,0.0,2.0
401,0.0,0.0,2.0
402,1.0,1.0,1.0
403,2.0,2.0,1.0
404,1.0,2.0,2.0
406,1.0,1.0,1.0
407,2.0,2.0,1.0
408,2.0,1.0,0.0
409,1.0,1.0,2.0
410,2.0,2.0,1.0
412,1.0,2.0,1.0
413,2.0,1.0,1.0
414,1.0,2.0,1.0
415,2.0,1.0,1.0
416,1.0,1.0,1.0
417,2.0,2.0,1.0
418,2.0,2.0,1.0
420,3.0,1.0,1.0
421,3.0,2.0,0.0
423,2.0,2.0,0.0
424,1.0,1.0,1.0
425,1.0,2.0,1.0
427,3.0,2.0,0.0
429,0.0,2.0,1.0
430,1.0,2.0,1.0
431,0.0,0.0,2.0
432,1.0,2.0,1.0
433,2.0,0.0,2.0
434,2.0,1.0,1.0
435,2.0,1.0,2.0
436,1.0,1.0,2.0
437,1.0,1.0,3.0
438,2.0,2.0,1.0
439,0.0,0.0,2.0
440,1.0,1.0,0.0
443,1.0,1.0,1.0
445,1.0,2.0,1.0
446,1.0,0.0,1.0
447,2.0,2.0,1.0
449,2.0,2.0,1.0
450,1.0,0.0,2.0
452,0.0,1.0,3.0
453,1.0,0.0,1.0
454,0.0,1.0,1.0
455,2.0,2.0,1.0
456,2.0,2.0,1.0
457,1.0,1.0,2.0
459,2.0,2.0,1.0
460,1.0,2.0,1.0
461,2.0,2.0,1.0
462,2.0,2.0,1.0
464,1.0,3.0,1.0
465,1.0,1.0,2.0
466,3.0,1.0,0.0
467,2.0,1.0,1.0
469,0.0,2.0,1.0
470,3.0,2.0,0.0
473,1.0,0.0,2.0
474,1.0,0.0,2.0
475,1.0,2.0,1.0
476,2.0,1.0,1.0
479,1.0,1.0,2.0
480,0.0,2.0,1.0
482,1.0,2.0,2.0
484,1.0,0.0,2.0
485,2.0,2.0,1.0
486,1.0,2.0,2.0
487,2.0,2.0,1.0
488,0.0,0.0,2.0
489,2.0,1.0,1.0
492,2.0,2.0,1.0
494,2.0,2.0,1.0
495,2.0,2.0,1.0
496,1.0,1.0,1.0
497,2.0,0.0,1.0
498,2.0,2.0,1.0
500,3.0,2.0,0.0
502,1.0,1.0,2.0
504,1.0,2.0,2.0
505,2.0,1.0,1.0
508,3.0,2.0,0.0
509,2.0,2.0,1.0
510,1.0,0.0,3.0
511,1.0,2.0,2.0
512,1.0,1.0,2.0
513,0.0,1.0,2.0
514,0.0,1.0,2.0
516,2.0,1.0,2.0
518,1.0,1.0,2.0
519,3.0,1.0,0.0
520,2.0,2.0,1.0
521,1.0,1.0,2.0
522,2.0,2.0,1.0
523,1.0,0.0,2.0
525,2.0,1.0,1.0
527,1.0,2.0,0.0
528,1.0,2.0,2.0
529,2.0,2.0,0.0
531,3.0,1.0,1.0
532,0.0,1.0,2.0
533,2.0,2.0,1.0
535,2.0,2.0,0.0
536,0.0,1.0,3.0
537,1.0,1.0,1.0
538,0.0,2.0,1.0
539,2.0,1.0,1.0
540,1.0,1.0,2.0
542,1.0,2.0,1.0
544,2.0,1.0,1.0
545,2.0,2.0,1.0
547,1.0,0.0,2.0
549,0.0,2.0,0.0
550,1.0,0.0,2.0
552,1.0,2.0,1.0
553,0.0,1.0,2.0
554,1.0,1.0,2.0
555,1.0,1.0,2.0
557,0.0,2.0,1.0
559,1.0,2.0,2.0
561,2.0,2.0,1.0
562,2.0,1.0,1.0
563,2.0,2.0,1.0
564,0.0,1.0,2.0
565,3.0,2.0,0.0
567,1.0,1.0,2.0
569,2.0,3.0,0.0
570,1.0,1.0,1.0
571,1.0,1.0,2.0
573,0.0,0.0,2.0
575,1.0,1.0,1.0
579,2.0,1.0,1.0
582,2.0,1.0,0.0
584,2.0,2.0,1.0
585,2.0,2.0,1.0
587,2.0,2.0,1.0
588,2.0,2.0,1.0
589,2.0,1.0,1.0
595,2.0,2.0,1.0
596,0.0,1.0,2.0
598,0.0,0.0,2.0
599,1.0,1.0,0.0
601,1.0,2.0,2.0
605,0.0,1.0,3.0
607,1.0,1.0,0.0
615,1.0,0.0,2.0
618,1.0,2.0,1.0
624,2.0,2.0,1.0
625,3.0,1.0,0.0
626,1.0,0.0,2.0
628,0.0,1.0,1.0
629,2.0,2.0,1.0
630,2.0,1.0,2.0
631,1.0,2.0,1.0
633,2.0,1.0,1.0
634,2.0,2.0,1.0
635,0.0,2.0,0.0
636,2.0,2.0,1.0
637,1.0,3.0,0.0
638,1.0,1.0,2.0
639,2.0,1.0,1.0
640,0.0,2.0,1.0
641,1.0,0.0,2.0
642,2.0,2.0,1.0
643,1.0,2.0,0.0
644,1.0,1.0,1.0
646,1.0,1.0,2.0
647,1.0,1.0,2.0
648,3.0,1.0,0.0
649,2.0,2.0,1.0
650,2.0,0.0,1.0
651,1.0,2.0,2.0
652,2.0,1.0,1.0
653,2.0,3.0,0.0
654,2.0,2.0,0.0
655,1.0,1.0,2.0
656,2.0,2.0,1.0
657,1.0,0.0,2.0
659,2.0,2.0,1.0
660,3.0,1.0,1.0
662,1.0,2.0,1.0
663,2.0,2.0,1.0
664,1.0,1.0,2.0
667,2.0,3.0,0.0
668,1.0,2.0,2.0
669,3.0,1.0,0.0
670,1.0,0.0,2.0
673,2.0,2.0,1.0
674,2.0,2.0,1.0
675,2.0,2.0,1.0
677,1.0,1.0,2.0
678,2.0,2.0,1.0
679,1.0,3.0,1.0
680,1.0,0.0,1.0
681,1.0,1.0,1.0
682,1.0,2.0,1.0
683,1.0,1.0,1.0
684,1.0,1.0,2.0
685,1.0,1.0,2.0
687,2.0,0.0,2.0
688,2.0,1.0,1.0
689,1.0,0.0,2.0
690,2.0,1.0,1.0
691,2.0,3.0,0.0
692,1.0,2.0,1.0
693,2.0,2.0,1.0
694,2.0,1.0,1.0
695,0.0,0.0,2.0
696,2.0,2.0,1.0
698,1.0,2.0,2.0
699,3.0,2.0,0.0
700,2.0,1.0,1.0
703,2.0,2.0,1.0
705,1.0,2.0,0.0
708,2.0,1.0,1.0
709,1.0,2.0,1.0
710,1.0,1.0,2.0
711,0.0,0.0,2.0
712,2.0,2.0,1.0
714,1.0,0.0,2.0
716,1.0,2.0,2.0
717,2.0,2.0,1.0
718,1.0,1.0,2.0
719,2.0,2.0,1.0
720,0.0,2.0,2.0
721,2.0,2.0,1.0
722,1.0,1.0,2.0
723,1.0,2.0,2.0
724,2.0,1.0,1.0
726,1.0,1.0,2.0
728,2.0,2.0,1.0
729,1.0,1.0,2.0
730,0.0,1.0,2.0
731,1.0,2.0,1.0
736,2.0,1.0,1.0
737,0.0,1.0,2.0
739,1.0,1.0,2.0
740,1.0,1.0,1.0
741,2.0,1.0,1.0
742,1.0,2.0,2.0
743,2.0,2.0,0.0
744,1.0,1.0,1.0
745,1.0,1.0,2.0
746,0.0,2.0,0.0
747,2.0,2.0,1.0
748,1.0,0.0,2.0
749,2.0,1.0,1.0
751,2.0,1.0,0.0
752,1.0,1.0,2.0
753,0.0,1.0,2.0
754,1.0,0.0,2.0
756,1.0,2.0,1.0
758,2.0,2.0,1.0
759,1.0,0.0,1.0
760,1.0,2.0,1.0
762,2.0,1.0,0.0
763,2.0,2.0,0.0
765,2.0,1.0,1.0
767,2.0,2.0,1.0
768,0.0,1.0,2.0
769,2.0,1.0,1.0
775,1.0,2.0,1.0
776,3.0,2.0,0.0
777,1.0,0.0,2.0
778,3.0,1.0,0.0
779,2.0,3.0,0.0
780,1.0,2.0,1.0
781,2.0,2.0,1.0
782,2.0,3.0,0.0
783,2.0,2.0,1.0
784,2.0,2.0,1.0
785,2.0,0.0,0.0
786,1.0,1.0,2.0
787,1.0,0.0,2.0
789,2.0,1.0,2.0
790,2.0,1.0,1.0
791,1.0,2.0,1.0
792,1.0,0.0,2.0
793,2.0,2.0,1.0
794,1.0,1.0,2.0
795,2.0,1.0,1.0
796,1.0,0.0,2.0
797,1.0,1.0,2.0
798,1.0,1.0,1.0
799,2.0,1.0,1.0
801,1.0,1.0,2.0
804,3.0,2.0,0.0
805,1.0,1.0,0.0
