cell_id,ch1,ch2,ch1+ch2
6,1.0,1.0,3.0
7,3.0,1.0,1.0
8,1.0,2.0,2.0
9,1.0,1.0,2.0
10,1.0,1.0,2.0
14,2.0,2.0,0.0
16,2.0,1.0,0.0
17,0.0,0.0,3.0
19,1.0,0.0,2.0
20,2.0,2.0,0.0
21,2.0,1.0,0.0
22,3.0,2.0,0.0
23,1.0,1.0,1.0
24,1.0,0.0,1.0
26,2.0,0.0,2.0
28,1.0,0.0,2.0
30,1.0,0.0,1.0
31,1.0,0.0,1.0
33,1.0,2.0,0.0
34,2.0,2.0,0.0
35,2.0,2.0,0.0
36,0.0,1.0,1.0
37,2.0,1.0,0.0
38,1.0,0.0,2.0
39,0.0,0.0,2.0
40,1.0,1.0,1.0
41,1.0,1.0,1.0
42,2.0,2.0,0.0
44,1.0,0.0,2.0
45,0.0,1.0,2.0
46,1.0,2.0,0.0
47,2.0,2.0,0.0
48,0.0,0.0,2.0
49,0.0,0.0,2.0
50,0.0,0.0,2.0
51,0.0,1.0,2.0
52,2.0,0.0,1.0
53,0.0,2.0,0.0
55,1.0,1.0,0.0
56,1.0,3.0,0.0
57,2.0,1.0,0.0
58,2.0,1.0,0.0
61,1.0,2.0,0.0
63,2.0,2.0,0.0
64,1.0,0.0,1.0
65,1.0,2.0,1.0
68,1.0,0.0,2.0
69,0.0,0.0,2.0
70,1.0,0.0,1.0
71,0.0,2.0,0.0
72,0.0,0.0,2.0
74,1.0,1.0,1.0
75,2.0,2.0,0.0
79,2.0,2.0,0.0
80,1.0,1.0,1.0
85,2.0,0.0,1.0
89,3.0,2.0,0.0
90,0.0,2.0,0.0
91,0.0,0.0,2.0
92,1.0,2.0,0.0
94,2.0,1.0,1.0
95,1.0,1.0,1.0
96,0.0,1.0,2.0
97,2.0,2.0,0.0
98,1.0,1.0,2.0
100,1.0,1.0,2.0
101,2.0,2.0,0.0
105,0.0,1.0,2.0
107,1.0,2.0,0.0
108,2.0,2.0,0.0
109,1.0,2.0,0.0
