cell_id,ch1,ch1+ch2,ch2
2,1.0,2.0,0.0
4,2.0,0.0,2.0
5,1.0,2.0,0.0
6,0.0,1.0,1.0
7,2.0,0.0,2.0
8,1.0,2.0,1.0
9,2.0,0.0,2.0
10,2.0,0.0,3.0
11,1.0,2.0,0.0
12,1.0,2.0,1.0
13,1.0,0.0,2.0
14,1.0,2.0,0.0
15,2.0,0.0,0.0
16,1.0,2.0,0.0
17,1.0,0.0,1.0
18,3.0,0.0,1.0
20,3.0,0.0,2.0
21,2.0,0.0,2.0
22,2.0,0.0,2.0
23,0.0,1.0,1.0
24,3.0,0.0,0.0
26,1.0,2.0,1.0
28,1.0,1.0,1.0
29,0.0,3.0,0.0
31,0.0,2.0,0.0
32,0.0,3.0,0.0
33,2.0,0.0,2.0
34,0.0,2.0,1.0
36,1.0,0.0,2.0
37,2.0,1.0,0.0
38,0.0,1.0,1.0
39,1.0,1.0,1.0
40,1.0,1.0,0.0
42,1.0,2.0,0.0
44,1.0,0.0,1.0
47,1.0,1.0,1.0
48,0.0,2.0,1.0
50,2.0,0.0,2.0
51,2.0,1.0,0.0
53,2.0,0.0,1.0
54,3.0,0.0,2.0
55,1.0,0.0,2.0
57,2.0,0.0,2.0
58,2.0,0.0,1.0
62,1.0,2.0,1.0
63,2.0,0.0,1.0
65,2.0,0.0,1.0
66,2.0,0.0,3.0
67,1.0,2.0,1.0
68,2.0,0.0,1.0
70,0.0,3.0,2.0
71,1.0,1.0,2.0
74,1.0,2.0,0.0
75,0.0,2.0,1.0
76,1.0,0.0,2.0
78,0.0,1.0,2.0
80,0.0,1.0,1.0
82,1.0,0.0,2.0
83,2.0,0.0,2.0
85,2.0,0.0,2.0
86,2.0,0.0,2.0
87,2.0,0.0,1.0
88,0.0,2.0,1.0
89,1.0,0.0,2.0
90,1.0,3.0,1.0
92,1.0,2.0,0.0
93,0.0,3.0,1.0
94,2.0,1.0,1.0
95,1.0,2.0,1.0
96,0.0,0.0,2.0
97,1.0,1.0,0.0
99,1.0,1.0,2.0
100,0.0,0.0,3.0
101,1.0,1.0,1.0
102,1.0,1.0,1.0
106,2.0,0.0,2.0
107,0.0,0.0,2.0
