cell_id,ch1,ch2,ch1+ch2
14,3.0,1.0,1.0
15,1.0,1.0,3.0
16,2.0,1.0,0.0
18,2.0,1.0,0.0
19,1.0,2.0,2.0
20,0.0,0.0,2.0
21,2.0,2.0,0.0
22,1.0,0.0,1.0
23,1.0,1.0,1.0
24,1.0,1.0,2.0
25,1.0,1.0,1.0
26,2.0,1.0,0.0
28,1.0,1.0,2.0
30,0.0,0.0,2.0
31,2.0,0.0,1.0
33,1.0,1.0,1.0
34,2.0,1.0,0.0
36,2.0,1.0,1.0
39,2.0,0.0,1.0
40,0.0,0.0,2.0
41,2.0,2.0,0.0
42,1.0,1.0,0.0
44,2.0,2.0,0.0
46,1.0,1.0,2.0
47,2.0,1.0,0.0
48,0.0,1.0,2.0
49,0.0,0.0,3.0
51,2.0,0.0,1.0
52,1.0,0.0,1.0
53,1.0,0.0,2.0
54,2.0,2.0,0.0
56,3.0,2.0,0.0
57,1.0,0.0,1.0
58,1.0,1.0,1.0
63,0.0,1.0,1.0
65,0.0,2.0,0.0
69,0.0,0.0,3.0
70,2.0,2.0,0.0
71,0.0,0.0,2.0
72,1.0,1.0,2.0
73,3.0,2.0,0.0
74,3.0,1.0,0.0
76,1.0,0.0,2.0
77,1.0,1.0,0.0
79,2.0,1.0,1.0
80,0.0,0.0,2.0
81,1.0,0.0,1.0
82,1.0,0.0,1.0
83,2.0,1.0,1.0
84,2.0,2.0,0.0
85,1.0,2.0,0.0
87,2.0,1.0,0.0
88,1.0,2.0,0.0
89,2.0,2.0,0.0
90,0.0,1.0,1.0
91,2.0,2.0,0.0
92,0.0,1.0,1.0
93,2.0,2.0,0.0
94,2.0,1.0,0.0
97,2.0,0.0,1.0
98,1.0,0.0,2.0
99,0.0,0.0,2.0
101,1.0,1.0,1.0
102,1.0,0.0,1.0
103,1.0,1.0,1.0
104,1.0,1.0,1.0
105,0.0,2.0,1.0
106,2.0,2.0,0.0
108,1.0,0.0,2.0
109,1.0,1.0,1.0
110,0.0,1.0,2.0
111,1.0,2.0,0.0
112,1.0,1.0,0.0
113,2.0,2.0,0.0
114,1.0,1.0,1.0
115,1.0,3.0,0.0
116,2.0,2.0,0.0
118,0.0,0.0,2.0
119,2.0,2.0,0.0
120,0.0,0.0,2.0
121,0.0,1.0,2.0
122,3.0,1.0,0.0
123,2.0,0.0,2.0
124,0.0,0.0,2.0
125,3.0,2.0,0.0
127,1.0,2.0,0.0
128,1.0,1.0,0.0
132,1.0,1.0,1.0
133,0.0,2.0,0.0
134,1.0,3.0,0.0
135,2.0,2.0,0.0
136,2.0,2.0,0.0
137,2.0,1.0,0.0
138,2.0,2.0,0.0
139,1.0,2.0,0.0
142,2.0,1.0,0.0
143,0.0,0.0,3.0
145,2.0,2.0,0.0
146,1.0,2.0,0.0
149,2.0,2.0,0.0
150,2.0,2.0,0.0
151,0.0,0.0,2.0
152,1.0,1.0,1.0
153,1.0,2.0,1.0
154,1.0,2.0,0.0
155,0.0,3.0,0.0
159,0.0,0.0,3.0
160,0.0,0.0,2.0
162,1.0,0.0,1.0
163,1.0,1.0,1.0
164,0.0,2.0,0.0
165,0.0,3.0,2.0
167,0.0,0.0,3.0
168,2.0,2.0,0.0
170,1.0,1.0,1.0
172,2.0,2.0,0.0
173,1.0,1.0,1.0
175,1.0,1.0,0.0
176,0.0,0.0,2.0
177,0.0,2.0,3.0
179,2.0,0.0,1.0
181,2.0,2.0,0.0
184,3.0,2.0,0.0
185,0.0,2.0,0.0
186,0.0,0.0,2.0
187,2.0,2.0,0.0
188,2.0,2.0,0.0
189,0.0,0.0,2.0
190,1.0,2.0,0.0
194,2.0,1.0,1.0
195,1.0,1.0,1.0
196,0.0,1.0,2.0
197,2.0,2.0,0.0
198,1.0,1.0,2.0
200,1.0,1.0,2.0
201,2.0,2.0,0.0
203,0.0,1.0,2.0
206,1.0,2.0,0.0
207,2.0,2.0,0.0
208,3.0,2.0,0.0
210,2.0,2.0,0.0
212,2.0,3.0,0.0
213,2.0,2.0,0.0
214,0.0,0.0,2.0
215,1.0,1.0,0.0
216,1.0,2.0,0.0
220,0.0,2.0,1.0
221,1.0,0.0,2.0
222,2.0,2.0,0.0
224,1.0,0.0,2.0
225,1.0,1.0,2.0
226,0.0,1.0,1.0
227,2.0,2.0,0.0
228,1.0,1.0,2.0
229,1.0,0.0,1.0
230,1.0,2.0,2.0
231,1.0,1.0,1.0
233,2.0,2.0,0.0
234,2.0,3.0,0.0
235,1.0,0.0,2.0
236,1.0,1.0,0.0
237,2.0,2.0,0.0
238,0.0,1.0,2.0
239,1.0,1.0,2.0
240,2.0,2.0,0.0
241,1.0,1.0,2.0
242,2.0,2.0,0.0
243,0.0,0.0,2.0
244,1.0,2.0,0.0
245,1.0,0.0,2.0
247,1.0,0.0,2.0
248,1.0,1.0,0.0
249,2.0,2.0,0.0
250,1.0,1.0,2.0
254,3.0,2.0,0.0
255,2.0,1.0,0.0
256,2.0,2.0,0.0
257,1.0,1.0,1.0
258,2.0,2.0,0.0
260,0.0,2.0,1.0
261,3.0,0.0,0.0
263,2.0,2.0,1.0
265,1.0,1.0,1.0
266,1.0,2.0,1.0
268,0.0,0.0,2.0
269,2.0,2.0,0.0
270,0.0,0.0,3.0
271,2.0,2.0,0.0
273,0.0,1.0,2.0
274,1.0,2.0,0.0
275,2.0,2.0,0.0
276,2.0,0.0,1.0
277,2.0,1.0,0.0
278,0.0,1.0,1.0
279,1.0,1.0,0.0
280,0.0,1.0,2.0
281,1.0,1.0,1.0
283,1.0,0.0,1.0
286,1.0,0.0,2.0
287,1.0,1.0,1.0
289,2.0,2.0,0.0
291,1.0,1.0,0.0
292,1.0,1.0,2.0
293,0.0,0.0,2.0
295,1.0,1.0,1.0
297,2.0,2.0,0.0
299,1.0,2.0,0.0
300,1.0,2.0,2.0
301,1.0,2.0,0.0
302,1.0,2.0,0.0
303,2.0,2.0,0.0
304,2.0,0.0,1.0
308,2.0,1.0,0.0
309,3.0,2.0,0.0
310,1.0,1.0,1.0
311,1.0,2.0,0.0
314,2.0,2.0,0.0
316,2.0,1.0,0.0
318,1.0,1.0,0.0
319,1.0,1.0,0.0
320,2.0,1.0,0.0
323,1.0,1.0,2.0
324,0.0,1.0,1.0
328,1.0,0.0,2.0
329,2.0,1.0,0.0
330,2.0,3.0,0.0
331,1.0,1.0,2.0
332,2.0,1.0,0.0
334,0.0,2.0,3.0
335,2.0,2.0,0.0
336,1.0,2.0,1.0
337,2.0,1.0,0.0
338,2.0,2.0,0.0
339,2.0,2.0,0.0
341,1.0,1.0,2.0
342,0.0,1.0,2.0
343,1.0,2.0,0.0
345,1.0,1.0,0.0
347,0.0,1.0,1.0
348,0.0,1.0,1.0
349,1.0,0.0,1.0
350,1.0,1.0,0.0
351,0.0,1.0,2.0
352,1.0,2.0,0.0
353,2.0,2.0,0.0
354,0.0,0.0,2.0
355,1.0,2.0,0.0
356,1.0,1.0,1.0
357,2.0,2.0,0.0
359,2.0,1.0,1.0
360,2.0,2.0,0.0
361,2.0,2.0,0.0
362,2.0,2.0,0.0
363,1.0,1.0,1.0
365,0.0,0.0,3.0
366,0.0,1.0,2.0
367,1.0,1.0,0.0
368,3.0,2.0,0.0
370,2.0,2.0,0.0
371,2.0,1.0,0.0
372,2.0,2.0,0.0
374,0.0,1.0,2.0
375,0.0,0.0,2.0
376,2.0,2.0,0.0
377,1.0,2.0,0.0
378,1.0,1.0,1.0
379,1.0,1.0,3.0
380,2.0,1.0,0.0
381,0.0,2.0,0.0
382,1.0,1.0,2.0
